CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
36.16389731,29139.91797
36.18921777,92065.23438
36.20770462,75188.51563
36.22632128,74681.75
36.244972,103072.7656
36.27506579,50103.78125
36.30037212,68503.45313
36.31932451,51360.72656
36.33797477,63648.08203
36.35661416,45361.16406
36.37526554,59945.77734
36.39410979,48756.24219
36.41276045,57414.28906
36.43150384,39446.23047
36.46148939,52950.36328
36.48014003,73199.82813
36.49881653,83514.41406
36.51767624,93304.30469
36.53632675,119063.2656
36.56696267,69798.8125
36.62222966,126971.0547
36.64092401,284058.9688
36.65964641,292034.625
36.67829677,352016.0625
36.69709632,311780.3438
36.71586439,330690.1875
36.73462736,348388.8438
36.76660284,51554.53516
36.78535889,281733.4688
36.80407298,287118
36.82299103,214429.8125
36.8416419,301561.7188
36.87127192,86043.24219
36.90994465,138649.5313
36.92879633,78183.02344
36.94744678,85889.19531
36.96618454,54113.48047
36.98496301,66302.10156
